country_code,country_name,year,employment_rate
AT,Austria,2024,77.4
BE,Belgium,2024,72.3
BG,Bulgaria,2024,76.8
HR,Croatia,2024,73.6
CY,Cyprus,2024,80.1
CZ,Czechia,2024,82.3
DK,Denmark,2024,80.2
EE,Estonia,2024,81.8
FI,Finland,2024,77.0
FR,France,2024,75.0
DE,Germany,2024,81.1
EL,Greece,2024,69.3
HU,Hungary,2024,81.1
IE,Ireland,2024,79.8
IT,Italy,2024,67.1
LV,Latvia,2024,77.4
LT,Lithuania,2024,79.2
LU,Luxembourg,2024,74.2
MT,Malta,2024,82.7
NL,Netherlands,2024,83.5
PL,Poland,2024,78.4
PT,Portugal,2024,78.5
RO,Romania,2024,69.5
SK,Slovakia,2024,78.1
SI,Slovenia,2024,78.3
ES,Spain,2024,71.4
SE,Sweden,2024,81.9
