country_code,country_name,year,recent_graduate_employment
AT,Austria,2024,86.5
BE,Belgium,2024,79.7
BG,Bulgaria,2024,80.9
HR,Croatia,2024,81.4
CY,Cyprus,2024,83.3
CZ,Czechia,2024,86.5
DK,Denmark,2024,85.0
EE,Estonia,2024,84.4
FI,Finland,2024,82.5
FR,France,2024,76.8
DE,Germany,2024,90.4
EL,Greece,2024,73.2
HU,Hungary,2024,88.0
IE,Ireland,2024,87.7
IT,Italy,2024,69.6
LV,Latvia,2024,76.9
LT,Lithuania,2024,78.1
LU,Luxembourg,2024,77.9
MT,Malta,2024,88.9
NL,Netherlands,2024,91.6
PL,Poland,2024,84.5
PT,Portugal,2024,79.7
RO,Romania,2024,75.0
SK,Slovakia,2024,88.3
SI,Slovenia,2024,84.6
ES,Spain,2024,79.0
SE,Sweden,2024,85.8
