country_code,country_name,gdp_per_capita_pps,employment_rate,poverty_rate,life_expectancy_x,healthy_life_years_x,self_perceived_health,tertiary_education_attainment_x,early_leavers_x,tertiary_education_attainment_y,early_leavers_y,life_expectancy_y,healthy_life_years_y,recent_graduate_employment,renewable_energy_share
AT,Austria,119,77.4,14.3,82.1,60.4,67.7,44.1,8.1,44.1,8.1,82.1,60.4,86.5,42.951
BE,Belgium,117,72.3,11.4,82.4,63.9,74.6,50.7,7.0,50.7,7.0,82.4,63.9,79.7,14.336
BG,Bulgaria,66,76.8,21.7,75.8,69.1,65.7,40.5,8.2,40.5,8.2,75.8,69.1,80.9,23.21
CY,Cyprus,99,80.1,14.6,83.5,63.9,75.2,60.3,11.4,60.3,11.4,83.5,63.9,83.3,20.844
CZ,Czechia,90,82.3,9.5,80.1,62.4,66.4,33.5,5.4,33.5,5.4,80.1,62.4,86.5,19.211
DE,Germany,116,81.1,15.5,81.2,62.4,64.7,39.1,13.5,39.1,13.5,81.2,62.4,90.4,22.474
DK,Denmark,127,80.2,11.6,82.0,62.4,68.2,51.2,10.4,51.2,10.4,82.0,62.4,85.0,46.461
EE,Estonia,79,81.8,20.2,79.4,58.6,57.7,42.7,11.0,42.7,11.0,79.4,58.6,84.4,42.232
EL,Greece,68,69.3,19.6,81.9,69.9,78.3,44.5,3.0,44.5,3.0,81.9,69.9,73.2,25.364
ES,Spain,91,71.4,19.7,84.0,68.6,70.2,52.6,13.0,52.6,13.0,84.0,68.6,79.0,25.417
FI,Finland,102,77.0,12.6,82.2,57.3,66.5,39.1,9.6,39.1,9.6,82.2,57.3,82.5,52.124
FR,France,98,75.0,15.9,83.0,63.6,66.3,53.1,7.9,53.1,7.9,83.0,63.6,76.8,23.229
HR,Croatia,78,73.6,20.3,78.9,63.1,67.2,39.4,2.0,39.4,2.0,78.9,63.1,81.4,26.477
HU,Hungary,76,81.1,14.3,76.8,63.3,64.6,32.3,10.3,32.3,10.3,76.8,63.3,88.0,18.264
IE,Ireland,221,79.8,12.7,83.1,66.9,79.9,65.2,2.8,65.2,2.8,83.1,66.9,87.7,16.064
IT,Italy,98,67.1,18.9,83.7,73.4,75.5,31.6,9.8,31.6,9.8,83.7,73.4,69.6,19.385
LT,Lithuania,87,79.2,21.5,77.5,64.3,48.9,58.2,8.4,58.2,8.4,77.5,64.3,78.1,35.408
LU,Luxembourg,244,74.2,18.1,83.2,60.2,73.1,63.8,7.8,63.8,7.8,83.2,60.2,77.9,14.742
LV,Latvia,69,77.4,21.6,76.4,52.5,49.1,45.0,7.9,45.0,7.9,76.4,52.5,76.9,45.535
MT,Malta,110,82.7,16.9,83.0,70.6,79.1,47.1,9.5,47.1,9.5,83.0,70.6,88.9,17.21
NL,Netherlands,134,83.5,12.1,81.9,59.5,69.8,55.1,7.0,55.1,7.0,81.9,59.5,91.6,20.18
PL,Poland,79,78.4,13.8,78.5,64.7,64.3,45.7,4.1,45.7,4.1,78.5,64.7,84.5,17.77
PT,Portugal,82,78.5,16.6,82.5,64.8,53.6,43.2,6.6,43.2,6.6,82.5,64.8,79.7,36.319
RO,Romania,77,69.5,19.0,76.5,65.0,75.5,23.2,16.8,23.2,16.8,76.5,65.0,75.0,25.378
SE,Sweden,112,81.9,14.8,83.8,67.5,66.6,54.4,7.2,54.4,7.2,83.8,67.5,85.8,62.846
SI,Slovenia,90,78.3,13.2,82.1,67.5,66.2,43.1,5.0,43.1,5.0,82.1,67.5,84.6,25.001
SK,Slovakia,75,78.1,14.5,78.4,57.1,66.8,37.2,7.5,37.2,7.5,78.4,57.1,88.3,18.092
