country_code,country_name,year,healthy_life_years
AT,Austria,2024,60.4
BE,Belgium,2024,63.9
BG,Bulgaria,2024,69.1
HR,Croatia,2024,63.1
CY,Cyprus,2024,63.9
CZ,Czechia,2024,62.4
DK,Denmark,2024,62.4
EE,Estonia,2024,58.6
FI,Finland,2024,57.3
FR,France,2024,63.6
DE,Germany,2024,62.4
EL,Greece,2024,69.9
HU,Hungary,2024,63.3
IE,Ireland,2024,66.9
IT,Italy,2024,73.4
LV,Latvia,2024,52.5
LT,Lithuania,2024,64.3
LU,Luxembourg,2022,60.2
MT,Malta,2024,70.6
NL,Netherlands,2024,59.5
PL,Poland,2024,64.7
PT,Portugal,2024,64.8
RO,Romania,2024,65.0
SK,Slovakia,2024,57.1
SI,Slovenia,2024,67.5
ES,Spain,2024,68.6
SE,Sweden,2024,67.5
