country_code,country_name,year,internet_access
AT,Austria,2024,94.96
BE,Belgium,2024,94.62
BG,Bulgaria,2024,92.12
HR,Croatia,2024,88.37
CY,Cyprus,2024,94.92
CZ,Czechia,2024,94.56
DK,Denmark,2024,96.92
EE,Estonia,2024,92.89
FI,Finland,2024,97.35
FR,France,2024,94.44
DE,Germany,2024,92.65
EL,Greece,2024,86.89
HU,Hungary,2024,94.78
IE,Ireland,2024,92.97
IT,Italy,2024,93.41
LV,Latvia,2024,94.33
LT,Lithuania,2024,90.38
LU,Luxembourg,2024,98.84
MT,Malta,2024,95.58
NL,Netherlands,2024,99.04
PL,Poland,2024,95.89
PT,Portugal,2024,90.6
RO,Romania,2024,94.57
SK,Slovakia,2024,90.54
SI,Slovenia,2024,94.13
ES,Spain,2024,96.83
SE,Sweden,2024,95.43
