country_code,country,year,life_expectancy
AT,Austria,2024,82.1
BE,Belgium,2024,82.4
BG,Bulgaria,2024,75.8
HR,Croatia,2024,78.9
CY,Cyprus,2024,83.5
CZ,Czechia,2024,80.1
DK,Denmark,2024,82.0
EE,Estonia,2024,79.4
FI,Finland,2024,82.2
FR,France,2024,83.0
DE,Germany,2024,81.2
EL,Greece,2024,81.9
HU,Hungary,2024,76.8
IE,Ireland,2024,83.1
IT,Italy,2024,83.7
LV,Latvia,2024,76.4
LT,Lithuania,2024,77.5
LU,Luxembourg,2024,83.2
MT,Malta,2024,83.0
NL,Netherlands,2024,81.9
PL,Poland,2024,78.5
PT,Portugal,2024,82.5
RO,Romania,2024,76.5
SK,Slovakia,2024,78.4
SI,Slovenia,2024,82.1
ES,Spain,2024,84.0
SE,Sweden,2024,83.8
