country_code,country_name,year,renewable_energy_share
AT,Austria,2024,42.951
BE,Belgium,2024,14.336
BG,Bulgaria,2024,23.21
HR,Croatia,2024,26.477
CY,Cyprus,2024,20.844
CZ,Czechia,2024,19.211
DK,Denmark,2024,46.461
EE,Estonia,2024,42.232
FI,Finland,2024,52.124
FR,France,2024,23.229
DE,Germany,2024,22.474
EL,Greece,2024,25.364
HU,Hungary,2024,18.264
IE,Ireland,2024,16.064
IT,Italy,2024,19.385
LV,Latvia,2024,45.535
LT,Lithuania,2024,35.408
LU,Luxembourg,2024,14.742
MT,Malta,2024,17.21
NL,Netherlands,2024,20.18
PL,Poland,2024,17.77
PT,Portugal,2024,36.319
RO,Romania,2024,25.378
SK,Slovakia,2024,18.092
SI,Slovenia,2024,25.001
ES,Spain,2024,25.417
SE,Sweden,2024,62.846
