country_code,country_name,year,self_perceived_health
AT,Austria,2024,67.7
BE,Belgium,2024,74.6
BG,Bulgaria,2024,65.7
HR,Croatia,2024,67.2
CY,Cyprus,2024,75.2
CZ,Czechia,2024,66.4
DK,Denmark,2024,68.2
EE,Estonia,2024,57.7
FI,Finland,2024,66.5
FR,France,2024,66.3
DE,Germany,2024,64.7
EL,Greece,2024,78.3
HU,Hungary,2024,64.6
IE,Ireland,2024,79.9
IT,Italy,2024,75.5
LV,Latvia,2024,49.1
LT,Lithuania,2024,48.9
LU,Luxembourg,2024,73.1
MT,Malta,2024,79.1
NL,Netherlands,2024,69.8
PL,Poland,2024,64.3
PT,Portugal,2024,53.6
RO,Romania,2024,75.5
SK,Slovakia,2024,66.8
SI,Slovenia,2024,66.2
ES,Spain,2024,70.2
SE,Sweden,2024,66.6
