geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
AT,Austria,2024,44.1
BE,Belgium,2024,50.7
BG,Bulgaria,2024,40.5
CY,Cyprus,2024,60.3
CZ,Czechia,2024,33.5
DE,Germany,2024,39.1
DK,Denmark,2024,51.2
EE,Estonia,2024,42.7
EL,Greece,2024,44.5
ES,Spain,2024,52.6
FI,Finland,2024,39.1
FR,France,2024,53.1
HR,Croatia,2024,39.4
HU,Hungary,2024,32.3
IE,Ireland,2024,65.2
IT,Italy,2024,31.6
LT,Lithuania,2024,58.2
LU,Luxembourg,2024,63.8
LV,Latvia,2024,45.0
MT,Malta,2024,47.1
NL,Netherlands,2024,55.1
PL,Poland,2024,45.7
PT,Portugal,2024,43.2
RO,Romania,2024,23.2
SE,Sweden,2024,54.4
SI,Slovenia,2024,43.1
SK,Slovakia,2024,37.2
