STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,sex,Sex,wstatus,Labour force and employment status,age,Age class,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TESEM020(1.0),Early leavers from education and training (age group 18-24),A,Annual,T,Total,POP,Population,Y18-24,From 18 to 24 years,PC,Percentage,AT,Austria,2005,,9.3,,,,,
dataflow,ESTAT:TESEM020(1.0),Early leavers from education and training (age group 18-24),A,Annual,T,Total,POP,Population,Y18-24,From 18 to 24 years,PC,Percentage,AT,Austria,2006,,10.0,,b,break in time series,,
dataflow,ESTAT:TESEM020(1.0),Early leavers from education and training (age group 18-24),A,Annual,T,Total,POP,Population,Y18-24,From 18 to 24 years,PC,Percentage,AT,Austria,2007,,10.8,,,,,
dataflow,ESTAT:TESEM020(1.0),Early leavers from education and training (age group 18-24),A,Annual,T,Total,POP,Population,Y18-24,From 18 to 24 years,PC,Percentage,AT,Austria,2008,,10.2,,,,,
dataflow,ESTAT:TESEM020(1.0),Early leavers from education and training (age group 18-24),A,Annual,T,Total,POP,Population,Y18-24,From 18 to 24 years,PC,Percentage,AT,Austria,2009,,8.8,,,,,
dataflow,ESTAT:TESEM020(1.0),Early leavers from education and training (age group 18-24),A,Annual,T,Total,POP,Population,Y18-24,From 18 to 24 years,PC,Percentage,AT,Austria,2010,,8.3,,,,,
dataflow,ESTAT:TESEM020(1.0),Early leavers from education and training (age group 18-24),A,Annual,T,Total,POP,Population,Y18-24,From 18 to 24 years,PC,Percentage,AT,Austria,2011,,8.5,,,,,
dataflow,ESTAT:TESEM020(1.0),Early leavers from education and training (age group 18-24),A,Annual,T,Total,POP,Population,Y18-24,From 18 to 24 years,PC,Percentage,AT,Austria,2012,,7.8,,,,,
dataflow,ESTAT:TESEM020(1.0),Early leavers from education and training (age group 18-24),A,Annual,T,Total,POP,Population,Y18-24,From 18 to 24 years,PC,Percentage,AT,Austria,2013,,7.5,,,,,
dataflow,ESTAT:TESEM020(1.0),Early leavers from education and training (age group 18-24),A,Annual,T,Total,POP,Population,Y18-24,From 18 to 24 years,PC,Percentage,AT,Austria,2014,,7.0,,b,break in time series,,
dataflow,ESTAT:TESEM020(1.0),Early leavers from education and training (age group 18-24),A,Annual,T,Total,POP,Population,Y18-24,From 18 to 24 years,PC,Percentage,AT,Austria,2015,,7.3,,,,,
dataflow,ESTAT:TESEM020(1.0),Early leavers from education and training (age group 18-24),A,Annual,T,Total,POP,Population,Y18-24,From 18 to 24 years,PC,Percentage,AT,Austria,2016,,6.9,,,,,
dataflow,ESTAT:TESEM020(1.0),Early leavers from education and training (age group 18-24),A,Annual,T,Total,POP,Population,Y18-24,From 18 to 24 years,PC,Percentage,AT,Austria,2017,,7.4,,,,,
dataflow,ESTAT:TESEM020(1.0),Early leavers from education and training (age group 18-24),A,Annual,T,Total,POP,Population,Y18-24,From 18 to 24 years,PC,Percentage,AT,Austria,2018,,7.3,,,,,
dataflow,ESTAT:TESEM020(1.0),Early leavers from education and training (age group 18-24),A,Annual,T,Total,POP,Population,Y18-24,From 18 to 24 years,PC,Percentage,AT,Austria,2019,,7.8,,,,,
dataflow,ESTAT:TESEM020(1.0),Early leavers from education and training (age group 18-24),A,Annual,T,Total,POP,Population,Y18-24,From 18 to 24 years,PC,Percentage,AT,Austria,2020,,8.1,,,,,
dataflow,ESTAT:TESEM020(1.0),Early leavers from education and training (age group 18-24),A,Annual,T,Total,POP,Population,Y18-24,From 18 to 24 years,PC,Percentage,AT,Austria,2021,,8.0,,b,break in time series,,
dataflow,ESTAT:TESEM020(1.0),Early leavers from education and training (age group 18-24),A,Annual,T,Total,POP,Population,Y18-24,From 18 to 24 years,PC,Percentage,AT,Austria,2022,,8.4,,,,,
dataflow,ESTAT:TESEM020(1.0),Early leavers from education and training (age group 18-24),A,Annual,T,Total,POP,Population,Y18-24,From 18 to 24 years,PC,Percentage,AT,Austria,2023,,8.6,,,,,
dataflow,ESTAT:TESEM020(1.0),Early leavers from education and training (age group 18-24),A,Annual,T,Total,POP,Population,Y18-24,From 18 to 24 years,PC,Percentage,AT,Austria,2024,,8.1,,,,,
dataflow,ESTAT:TESEM020(1.0),Early leavers from education and training (age group 18-24),A,Annual,T,Total,POP,Population,Y18-24,From 18 to 24 years,PC,Percentage,AT,Austria,2025,,10.0,,,,,
dataflow,ESTAT:TESEM020(1.0),Early leavers from education and training (age group 18-24),A,Annual,T,Total,POP,Population,Y18-24,From 18 to 24 years,PC,Percentage,BA,Bosnia and Herzegovina,2021,,4.7,,b,break in time series,,
dataflow,ESTAT:TESEM020(1.0),Early leavers from education and training (age group 18-24),A,Annual,T,Total,POP,Population,Y18-24,From 18 to 24 years,PC,Percentage,BA,Bosnia and Herzegovina,2022,,3.6,,,,,
dataflow,ESTAT:TESEM020(1.0),Early leavers from education and training (age group 18-24),A,Annual,T,Total,POP,Population,Y18-24,From 18 to 24 years,PC,Percentage,BA,Bosnia and Herzegovina,2023,,4.2,,,,,
dataflow,ESTAT:TESEM020(1.0),Early leavers from education and training (age group 18-24),A,Annual,T,Total,POP,Population,Y18-24,From 18 to 24 years,PC,Percentage,BA,Bosnia and Herzegovina,2024,,3.8,,,,,
dataflow,ESTAT:TESEM020(1.0),Early leavers from education and training (age group 18-24),A,Annual,T,Total,POP,Population,Y18-24,From 18 to 24 years,PC,Percentage,BA,Bosnia and Herzegovina,2025,,3.0,,,,,
dataflow,ESTAT:TESEM020(1.0),Early leavers from education and training (age group 18-24),A,Annual,T,Total,POP,Population,Y18-24,From 18 to 24 years,PC,Percentage,BE,Belgium,2005,,12.9,,,,,
dataflow,ESTAT:TESEM020(1.0),Early leavers from education and training (age group 18-24),A,Annual,T,Total,POP,Population,Y18-24,From 18 to 24 years,PC,Percentage,BE,Belgium,2006,,12.6,,b,break in time series,,
dataflow,ESTAT:TESEM020(1.0),Early leavers from education and training (age group 18-24),A,Annual,T,Total,POP,Population,Y18-24,From 18 to 24 years,PC,Percentage,BE,Belgium,2007,,12.1,,,,,
dataflow,ESTAT:TESEM020(1.0),Early leavers from education and training (age group 18-24),A,Annual,T,Total,POP,Population,Y18-24,From 18 to 24 years,PC,Percentage,BE,Belgium,2008,,12.0,,b,break in time series,,
dataflow,ESTAT:TESEM020(1.0),Early leavers from education and training (age group 18-24),A,Annual,T,Total,POP,Population,Y18-24,From 18 to 24 years,PC,Percentage,BE,Belgium,2009,,11.1,,,,,
dataflow,ESTAT:TESEM020(1.0),Early leavers from education and training (age group 18-24),A,Annual,T,Total,POP,Population,Y18-24,From 18 to 24 years,PC,Percentage,BE,Belgium,2010,,11.9,,,,,
dataflow,ESTAT:TESEM020(1.0),Early leavers from education and training (age group 18-24),A,Annual,T,Total,POP,Population,Y18-24,From 18 to 24 years,PC,Percentage,BE,Belgium,2011,,12.3,,b,break in time series,,
dataflow,ESTAT:TESEM020(1.0),Early leavers from education and training (age group 18-24),A,Annual,T,Total,POP,Population,Y18-24,From 18 to 24 years,PC,Percentage,BE,Belgium,2012,,12.0,,,,,
dataflow,ESTAT:TESEM020(1.0),Early leavers from education and training (age group 18-24),A,Annual,T,Total,POP,Population,Y18-24,From 18 to 24 years,PC,Percentage,BE,Belgium,2013,,11.0,,,,,
dataflow,ESTAT:TESEM020(1.0),Early leavers from education and training (age group 18-24),A,Annual,T,Total,POP,Population,Y18-24,From 18 to 24 years,PC,Percentage,BE,Belgium,2014,,9.8,,b,break in time series,,
dataflow,ESTAT:TESEM020(1.0),Early leavers from education and training (age group 18-24),A,Annual,T,Total,POP,Population,Y18-24,From 18 to 24 years,PC,Percentage,BE,Belgium,2015,,10.1,,,,,
dataflow,ESTAT:TESEM020(1.0),Early leavers from education and training (age group 18-24),A,Annual,T,Total,POP,Population,Y18-24,From 18 to 24 years,PC,Percentage,BE,Belgium,2016,,8.8,,,,,
dataflow,ESTAT:TESEM020(1.0),Early leavers from education and training (age group 18-24),A,Annual,T,Total,POP,Population,Y18-24,From 18 to 24 years,PC,Percentage,BE,Belgium,2017,,8.9,,b,break in time series,,
