STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,duration,Duration,isced11,International Standard Classification of Education (ISCED 2011),age,Age class,sex,Sex,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,AT,Austria,2014,,87.2,,b,break in time series,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,AT,Austria,2015,,86.9,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,AT,Austria,2016,,87.6,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,AT,Austria,2017,,89.4,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,AT,Austria,2018,,88.6,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,AT,Austria,2019,,89.0,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,AT,Austria,2020,,88.4,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,AT,Austria,2021,,87.7,,b,break in time series,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,AT,Austria,2022,,88.4,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,AT,Austria,2023,,89.0,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,AT,Austria,2024,,86.5,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,AT,Austria,2025,,87.9,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,BA,Bosnia and Herzegovina,2021,,56.4,,b,break in time series,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,BA,Bosnia and Herzegovina,2022,,56.0,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,BA,Bosnia and Herzegovina,2023,,57.8,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,BA,Bosnia and Herzegovina,2024,,59.7,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,BA,Bosnia and Herzegovina,2025,,58.7,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,BE,Belgium,2014,,79.0,,b,break in time series,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,BE,Belgium,2015,,79.5,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,BE,Belgium,2016,,81.2,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,BE,Belgium,2017,,81.9,,b,break in time series,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,BE,Belgium,2018,,83.4,,,,,
