STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,hhcomp,Household composition,rskpovth,Risk of poverty threshold,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,AL,Albania,2017,,5.0,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,AL,Albania,2018,,5.2,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,AL,Albania,2019,,3.5,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,AL,Albania,2020,,2.3,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,AL,Albania,2023,,4.6,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,AT,Austria,2012,,11.3,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,AT,Austria,2013,,11.8,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,AT,Austria,2014,,11.5,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,AT,Austria,2015,,11.8,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,AT,Austria,2016,,11.6,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,AT,Austria,2017,,11.4,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,AT,Austria,2018,,11.1,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,AT,Austria,2019,,11.6,,,,,
