STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,rskpovth,Risk of poverty threshold,age,Age class,sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TESPM140(1.0),Housing cost overburden rate,A,Annual,PC,Percentage,TOTAL,Total,TOTAL,Total,T,Total,AL,Albania,2017,,9.2,,,,,
dataflow,ESTAT:TESPM140(1.0),Housing cost overburden rate,A,Annual,PC,Percentage,TOTAL,Total,TOTAL,Total,T,Total,AL,Albania,2018,,6.0,,,,,
dataflow,ESTAT:TESPM140(1.0),Housing cost overburden rate,A,Annual,PC,Percentage,TOTAL,Total,TOTAL,Total,T,Total,AL,Albania,2019,,5.5,,,,,
dataflow,ESTAT:TESPM140(1.0),Housing cost overburden rate,A,Annual,PC,Percentage,TOTAL,Total,TOTAL,Total,T,Total,AL,Albania,2020,,3.8,,,,,
dataflow,ESTAT:TESPM140(1.0),Housing cost overburden rate,A,Annual,PC,Percentage,TOTAL,Total,TOTAL,Total,T,Total,AL,Albania,2021,,3.3,,,,,
dataflow,ESTAT:TESPM140(1.0),Housing cost overburden rate,A,Annual,PC,Percentage,TOTAL,Total,TOTAL,Total,T,Total,AL,Albania,2022,,2.8,,,,,
dataflow,ESTAT:TESPM140(1.0),Housing cost overburden rate,A,Annual,PC,Percentage,TOTAL,Total,TOTAL,Total,T,Total,AL,Albania,2023,,2.1,,,,,
dataflow,ESTAT:TESPM140(1.0),Housing cost overburden rate,A,Annual,PC,Percentage,TOTAL,Total,TOTAL,Total,T,Total,AT,Austria,2014,,6.6,,,,,
dataflow,ESTAT:TESPM140(1.0),Housing cost overburden rate,A,Annual,PC,Percentage,TOTAL,Total,TOTAL,Total,T,Total,AT,Austria,2015,,6.4,,,,,
dataflow,ESTAT:TESPM140(1.0),Housing cost overburden rate,A,Annual,PC,Percentage,TOTAL,Total,TOTAL,Total,T,Total,AT,Austria,2016,,7.2,,,,,
dataflow,ESTAT:TESPM140(1.0),Housing cost overburden rate,A,Annual,PC,Percentage,TOTAL,Total,TOTAL,Total,T,Total,AT,Austria,2017,,7.1,,,,,
dataflow,ESTAT:TESPM140(1.0),Housing cost overburden rate,A,Annual,PC,Percentage,TOTAL,Total,TOTAL,Total,T,Total,AT,Austria,2018,,6.8,,,,,
dataflow,ESTAT:TESPM140(1.0),Housing cost overburden rate,A,Annual,PC,Percentage,TOTAL,Total,TOTAL,Total,T,Total,AT,Austria,2019,,7.0,,,,,
dataflow,ESTAT:TESPM140(1.0),Housing cost overburden rate,A,Annual,PC,Percentage,TOTAL,Total,TOTAL,Total,T,Total,AT,Austria,2020,,6.3,,,,,
