STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sex,Sex,age,Age class,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,AL,Albania,2013,,77.9,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,AL,Albania,2014,,78.2,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,AL,Albania,2015,,77.9,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,AL,Albania,2016,,78.5,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,AL,Albania,2017,,78.5,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,AL,Albania,2018,,78.9,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,AL,Albania,2019,,79.1,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,AL,Albania,2020,,77.4,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,AL,Albania,2021,,75.5,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,AL,Albania,2022,,79.1,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,AL,Albania,2024,,80.4,,b,break in time series,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,AM,Armenia,2015,,75.1,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,AM,Armenia,2016,,75.1,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,AM,Armenia,2017,,75.8,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,AM,Armenia,2018,,76.7,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,AM,Armenia,2019,,76.6,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,AT,Austria,2013,,81.3,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,AT,Austria,2014,,81.4,,b,break in time series,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,AT,Austria,2015,,81.2,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,AT,Austria,2016,,81.6,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,AT,Austria,2017,,81.6,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,AT,Austria,2018,,81.7,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,AT,Austria,2019,,81.9,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,AT,Austria,2020,,81.3,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,AT,Austria,2021,,81.3,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,AT,Austria,2022,,81.4,,,,,
