STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,statinfo,Statistical information,unit,Unit of measure,isced11,International Standard Classification of Education (ISCED 2011),life_sat,Life satisfaction,sex,Sex,age,Age class,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,AL,Albania,2018,,5.5,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,AL,Albania,2021,,5.7,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,AL,Albania,2022,,6.0,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,AL,Albania,2023,,6.3,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,AT,Austria,2013,,7.8,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,AT,Austria,2018,,8.0,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,AT,Austria,2021,,8.0,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,AT,Austria,2022,,7.9,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,AT,Austria,2023,,7.7,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,AT,Austria,2024,,7.6,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,AT,Austria,2025,,7.7,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,BE,Belgium,2013,,7.5,,,,,
